run,cell,arm,alpha,beta,rate_req_s,osl_tokens,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,10,498,2,0.004,0.2428,0.2241,0.3659,0.4199,0.4992,0.0458,0.1971,0.2381,4.5481,9.0475,9.8717,14.1806,907.5604,1.0833
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,11,496,4,0.008,0.2132,0.2038,0.3084,0.3336,0.381,0.0415,0.1418,0.192,3.7272,6.1316,6.6747,13.9092,890.1874,1.4898
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,12,499,1,0.002,0.2277,0.1955,0.3552,0.4168,0.5736,0.0419,0.163,0.2023,3.808,7.5258,7.9459,14.7089,941.3718,1.453
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,13,496,4,0.008,0.2832,0.2471,0.4227,0.5183,0.7698,0.0472,0.1878,0.2277,4.7055,7.8118,8.0701,15.0585,963.7448,1.1517
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,14,496,4,0.008,0.2041,0.1796,0.3091,0.3691,0.455,0.0378,0.168,0.2034,3.5718,7.8297,8.0664,14.3118,915.9558,1.6791
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,15,498,2,0.004,0.2011,0.1907,0.2934,0.3262,0.3722,0.039,0.1291,0.1609,3.3661,6.2036,6.3819,13.0923,837.9102,1.6091
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,16,498,2,0.004,0.2342,0.2158,0.3413,0.3878,0.5279,0.0428,0.1556,0.1796,3.941,6.2935,6.5817,15.0584,963.7392,1.5424
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,17,499,1,0.002,0.2411,0.2161,0.3773,0.4113,0.4865,0.0455,0.1763,0.2019,4.2292,7.0125,7.4267,14.5946,934.0566,1.4046
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,18,496,4,0.008,0.2103,0.2051,0.2948,0.3234,0.3586,0.0412,0.1299,0.1509,3.5831,5.725,5.878,14.1312,904.3968,1.6547
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,19,495,5,0.01,0.2579,0.227,0.4441,0.5208,0.65,0.0422,0.1531,0.1943,3.9548,6.3687,6.8148,14.8304,949.1455,1.3771
20260804-002923-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,20,499,1,0.002,0.2501,0.2319,0.3628,0.4131,0.4469,0.0484,0.1761,0.2077,4.6475,7.8538,8.05,14.9799,958.712,1.6443
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.1954,0.1691,0.271,0.311,0.7628,0.0335,0.1056,0.1415,2.9657,4.4045,4.8917,14.7871,946.3735,1.2636
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,498,2,0.004,0.2049,0.1891,0.2745,0.3146,0.5008,0.0376,0.1171,0.1467,3.3359,4.8482,5.2528,14.3665,919.4588,1.094
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,500,0,0.0,0.2725,0.2495,0.4033,0.4661,1.0674,0.0475,0.1816,0.2687,4.9039,7.5196,7.9939,14.7689,945.2118,1.08
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,495,5,0.01,0.2273,0.2131,0.3305,0.3767,0.4978,0.0403,0.1245,0.1563,3.3911,5.5161,5.7879,13.4659,861.8174,1.098
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,498,2,0.004,0.3787,0.3335,0.6079,0.7754,1.1506,0.0466,0.1656,0.2356,4.5504,6.9184,7.5377,14.4734,926.2995,1.3014
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,497,3,0.006,0.293,0.2666,0.4537,0.5118,0.6749,0.0422,0.1374,0.1611,3.7547,5.797,6.0472,13.9997,895.9786,1.1023
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,7,500,0,0.0,0.2579,0.2363,0.3781,0.4149,0.5315,0.0458,0.1531,0.1888,4.1376,6.352,6.6365,15.2369,975.1617,1.3618
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,8,496,4,0.008,0.227,0.2202,0.3049,0.3329,0.3799,0.0436,0.1342,0.1613,3.944,5.5238,5.7832,13.8553,886.7417,1.2449
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,9,498,2,0.004,0.2901,0.2585,0.4412,0.5396,0.7143,0.055,0.2213,0.313,5.4531,10.1373,11.1314,14.6707,938.9277,1.3468
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,10,496,4,0.008,0.2129,0.2084,0.2931,0.3202,0.401,0.0406,0.1423,0.1736,3.82,6.5634,6.9368,14.7837,946.1538,1.1879
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,11,500,0,0.0,0.1702,0.1534,0.237,0.2807,0.3137,0.0321,0.0927,0.1293,2.6658,4.155,4.3791,14.1674,906.7125,1.3514
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,12,500,0,0.0,0.2194,0.2033,0.3118,0.3704,0.5156,0.0409,0.1392,0.2249,3.8121,7.8373,8.4664,14.6088,934.963,1.223
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,13,498,2,0.004,0.2488,0.2385,0.3469,0.3836,0.4587,0.0501,0.1765,0.2069,4.8444,7.9514,8.1957,15.2266,974.5013,1.5789
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,14,496,4,0.008,0.2153,0.2132,0.3069,0.329,0.3761,0.0426,0.1333,0.1622,3.8339,5.8304,6.4382,14.3785,920.2212,1.3333
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,15,497,3,0.006,0.2209,0.2126,0.2946,0.332,0.3952,0.043,0.1296,0.1657,3.6661,5.0788,5.4472,13.2912,850.6358,1.3858
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,16,499,1,0.002,0.2644,0.2578,0.3828,0.4088,0.4735,0.0491,0.1737,0.2137,4.9386,7.5247,7.729,15.1863,971.9239,1.2793
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,17,498,2,0.004,0.2371,0.2175,0.3579,0.4319,0.5453,0.0416,0.1572,0.2191,4.0871,7.3166,7.8308,14.475,926.4012,1.363
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,18,495,5,0.01,0.2482,0.2346,0.3422,0.3798,0.4355,0.0486,0.1628,0.201,4.5815,7.1755,7.8352,13.8888,888.8848,1.3571
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,19,497,3,0.006,0.2336,0.2147,0.3634,0.421,0.5205,0.0445,0.2004,0.2454,4.5538,10.3157,10.517,14.7496,943.9754,1.7007
20260804-135033-loadaware-b0.034,loadaware-b0.034,loadaware,1.0,0.034,16.0,,9eee8a1fc72a,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,20,500,0,0.0,0.231,0.2176,0.3247,0.3593,0.4544,0.0433,0.1444,0.1753,3.9438,6.11,6.4769,15.3372,981.5839,1.2911
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1674,0.1498,0.2427,0.2679,0.3373,0.0314,0.1049,0.1388,2.7905,4.8464,5.0794,14.593,933.949,2.3393
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.2873,0.2595,0.4687,0.5058,0.5967,0.0534,0.2308,0.2688,6.2566,11.6492,11.7771,14.1789,907.4492,4.6296
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,498,2,0.004,0.3459,0.2627,0.6402,0.7238,0.9046,0.0706,0.3594,0.449,7.8865,16.5537,17.2191,13.848,886.2696,4.7
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,491,9,0.018,0.1741,0.1622,0.2334,0.2727,0.3551,0.035,0.1062,0.1375,2.8785,4.597,5.0956,13.3366,853.5426,3.0556
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,500,0,0.0,0.2345,0.2087,0.3622,0.4529,0.5804,0.0456,0.161,0.2346,4.213,7.1404,7.95,14.4042,921.8662,1.496
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,496,4,0.008,0.2099,0.1967,0.2814,0.321,0.4414,0.0402,0.1155,0.1413,3.5742,5.0303,5.2722,14.2418,911.4765,2.128
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,7,500,0,0.0,0.4054,0.3758,0.6914,0.8045,0.9939,0.0929,0.3706,0.5557,9.1875,17.5096,18.1024,14.3639,919.2875,3.0323
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,8,494,6,0.012,0.2027,0.1985,0.2833,0.3066,0.3401,0.0393,0.1288,0.1545,3.7641,5.409,5.489,13.9732,894.2865,5.7164
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,9,500,0,0.0,0.2316,0.23,0.3046,0.3197,0.3602,0.0452,0.1373,0.1592,4.3379,5.9925,6.1674,14.9261,955.2677,2.2617
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,10,497,3,0.006,0.2206,0.2031,0.326,0.3799,0.4601,0.0433,0.1648,0.1918,4.2973,8.0092,8.461,14.6135,935.2627,2.1901
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,11,495,5,0.01,0.1944,0.1826,0.2613,0.2819,0.4993,0.0383,0.1061,0.1332,3.2559,4.443,4.6132,14.0757,900.8431,2.113
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,12,499,1,0.002,0.3037,0.2675,0.4908,0.5462,0.6629,0.0695,0.2719,0.3356,6.8093,12.8012,13.3844,14.1354,904.6684,2.4479
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,13,493,7,0.014,0.28,0.2325,0.482,0.56,0.9411,0.0512,0.2363,0.2772,5.3989,10.8547,11.5373,14.573,932.6739,3.0538
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,14,495,5,0.01,0.2325,0.2231,0.3218,0.3513,0.4267,0.0453,0.1481,0.1809,4.5073,6.5003,6.7831,14.2352,911.0502,4.1895
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,15,499,1,0.002,0.1907,0.1796,0.2566,0.2945,0.4069,0.0365,0.1146,0.1665,3.3435,5.8025,6.0296,13.523,865.4733,1.7833
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,16,500,0,0.0,0.2581,0.2509,0.3631,0.3988,0.4465,0.056,0.178,0.2146,5.2188,7.2358,7.7238,15.147,969.4093,1.2563
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,17,499,1,0.002,0.2468,0.2191,0.394,0.4703,0.5703,0.0475,0.2091,0.2515,4.6901,9.0873,9.5924,14.6435,937.1863,1.7432
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,18,498,2,0.004,0.3593,0.2967,0.6759,0.7904,0.9513,0.0749,0.3683,0.4437,8.4083,17.517,18.0277,13.1828,843.6997,5.0561
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,19,496,4,0.008,0.2616,0.237,0.4111,0.463,0.7185,0.0491,0.192,0.232,4.9418,9.1607,9.4225,14.8246,948.7728,2.9115
20260804-151901-kvaware,kvaware,kvaware,,,16.0,,265be9134785,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,20,494,6,0.012,0.3825,0.3178,0.7022,0.7709,0.8976,0.083,0.3737,0.5486,9.2668,18.9265,19.2841,14.2515,912.0976,6.5
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.1843,0.1617,0.2777,0.3218,0.4465,0.0361,0.1208,0.1824,3.1233,6.1593,6.295,14.6899,940.1524,3.0339
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,496,4,0.008,0.2069,0.1952,0.2759,0.317,0.5003,0.0382,0.1177,0.1464,3.4915,4.6624,5.0648,14.4204,922.9075,2.337
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,499,1,0.002,0.3234,0.2424,0.6169,0.72,0.8688,0.0689,0.3368,0.4106,7.1107,14.7609,15.1407,13.9697,894.0623,5.5568
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,493,7,0.014,0.1891,0.1781,0.2672,0.2984,0.3836,0.0379,0.1177,0.1726,3.262,6.0622,6.5888,13.4329,859.7086,1.5462
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,499,1,0.002,0.2998,0.2622,0.4946,0.5548,0.7035,0.0572,0.2389,0.2851,5.8133,11.2257,11.9118,14.2185,909.9848,3.8608
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,496,4,0.008,0.2376,0.2274,0.3463,0.3903,0.4473,0.0462,0.1572,0.2291,4.4609,6.7412,7.03,13.749,879.9391,2.6435
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,7,500,0,0.0,0.2615,0.2415,0.3729,0.4207,0.6168,0.0507,0.1762,0.2181,4.8226,7.429,7.9176,15.2819,978.0443,1.8374
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,8,494,6,0.012,0.2407,0.2178,0.3851,0.4393,0.5074,0.0486,0.2036,0.2426,4.8072,9.0278,9.312,13.5667,868.2669,4.0556
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,9,498,2,0.004,0.209,0.1973,0.2892,0.322,0.4143,0.0421,0.1302,0.1552,3.5441,5.1708,5.2743,14.6735,939.1048,1.2847
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,10,497,3,0.006,0.2979,0.2746,0.4488,0.4935,0.7441,0.0592,0.2198,0.2531,6.1522,10.3421,10.7801,14.4466,924.5807,3.4478
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,11,491,9,0.018,0.2316,0.1929,0.3883,0.43,0.5543,0.0448,0.1821,0.2853,4.5613,8.6603,9.2067,13.4586,861.3509,2.6486
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,12,495,5,0.01,0.2697,0.254,0.4035,0.4359,0.4765,0.0577,0.194,0.2297,5.707,9.3991,9.6142,14.7139,941.689,3.3246
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,13,499,1,0.002,0.3582,0.2932,0.6904,0.7692,0.8775,0.0745,0.3807,0.4304,7.445,14.9409,15.4144,14.1562,905.9942,3.6789
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,14,494,6,0.012,0.2651,0.2187,0.3574,0.4672,0.9551,0.0424,0.122,0.1527,3.644,4.9664,5.3741,14.1589,906.1665,1.4603
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,15,499,1,0.002,0.21,0.2019,0.2768,0.3069,0.3736,0.0396,0.1158,0.1417,3.5247,4.8327,5.1343,13.4868,863.1566,1.9669
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,16,500,0,0.0,0.2743,0.2327,0.379,0.5629,1.2967,0.0474,0.1522,0.2454,4.4807,7.4869,8.0865,15.2816,978.025,2.3451
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,17,496,4,0.008,0.2671,0.2425,0.428,0.4954,0.5672,0.0581,0.1955,0.2748,5.3372,9.6208,10.2268,14.233,910.9102,2.6033
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,18,497,3,0.006,0.2552,0.237,0.39,0.4448,0.5971,0.0494,0.1874,0.2269,5.0557,8.8308,9.3144,14.0832,901.3277,4.3099
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,19,497,3,0.006,0.258,0.2585,0.3654,0.3969,0.477,0.054,0.1934,0.2273,5.2377,8.8627,9.603,14.8067,947.6314,2.4262
20260804-155356-loadaware-b0,loadaware-b0,loadaware,1.0,0,16.0,,265be9134785,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,20,500,0,0.0,0.3582,0.2812,0.7144,0.8095,0.9434,0.0813,0.3915,0.4855,8.3,17.3456,17.9339,14.0127,896.8133,3.9912
20260804-190542-loadaware-b0.068,loadaware-b0.068,loadaware,1.0,0.068,16.0,,1691acb1c575,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.3419,0.2916,0.5527,0.6315,0.9148,0.031,0.0885,0.1222,2.6069,3.9242,4.143,14.7362,943.1176,1.0194
20260804-190542-loadaware-b0.068,loadaware-b0.068,loadaware,1.0,0.068,16.0,,1691acb1c575,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.3371,0.3167,0.458,0.5496,0.654,0.0349,0.0973,0.1302,2.9,4.1368,4.3099,14.1955,908.509,1.0614
20260804-190542-loadaware-b0.068,loadaware-b0.068,loadaware,1.0,0.068,16.0,,1691acb1c575,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,500,0,0.0,0.3506,0.3421,0.4334,0.4794,0.5688,0.0432,0.1298,0.1652,3.6824,5.3023,5.7175,14.8175,948.3179,1.1544
20260804-191644-roundrobin,roundrobin,roundrobin,,,16.0,,1691acb1c575,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,2.7788,1.1273,7.9181,11.5281,12.3525,0.1015,0.8634,1.1194,16.8154,28.2765,28.9096,10.8161,692.2286,1.7227
20260804-191644-roundrobin,roundrobin,roundrobin,,,16.0,,1691acb1c575,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,1.7512,0.851,6.2273,8.132,11.7868,0.0857,1.0269,1.1295,15.4524,29.9426,31.1668,10.7372,687.1786,2.1674
20260804-191644-roundrobin,roundrobin,roundrobin,,,16.0,,1691acb1c575,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,500,0,0.0,4.8373,2.4852,13.714,14.357,14.9833,0.093,0.8393,1.0987,19.4369,30.6674,32.0061,9.9452,636.4902,1.3036
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,1,500,0,0.0,0.3485,0.3071,0.4717,0.6728,0.9773,0.0317,0.1032,0.1349,2.8222,4.2408,4.4682,14.714,941.6929,1.0612
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,2,498,2,0.004,0.3868,0.358,0.5049,0.6398,0.9693,0.0407,0.1255,0.1586,3.6444,5.1078,5.7986,14.3004,915.226,1.1595
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,3,497,3,0.006,0.4773,0.442,0.7122,0.8019,1.009,0.0479,0.1713,0.2157,4.6359,7.3124,7.5482,14.5382,930.4442,1.142
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,4,497,3,0.006,0.3988,0.3597,0.5745,0.6666,0.8271,0.0374,0.1168,0.1545,3.283,4.5759,4.7257,13.4649,861.7544,1.0946
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,5,498,2,0.004,0.4748,0.4269,0.6822,0.7964,1.2445,0.0518,0.1949,0.2609,4.869,8.5167,8.8352,14.0753,900.8197,1.1875
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,6,500,0,0.0,0.4184,0.3909,0.5755,0.6761,0.9085,0.0431,0.1414,0.1773,3.8438,5.6233,5.8513,13.9379,892.0287,1.219
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,7,499,1,0.002,0.4438,0.4074,0.6036,0.7206,1.2053,0.0463,0.1672,0.2086,4.2499,7.1881,7.6155,15.0205,961.3096,1.25
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,8,495,5,0.01,0.3947,0.3682,0.5157,0.5739,0.8726,0.04,0.1297,0.1782,3.5417,6.1174,6.9572,13.7312,878.7945,1.2677
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,9,499,1,0.002,0.5348,0.4716,0.8188,0.9291,1.7377,0.044,0.1479,0.2016,4.0114,6.7043,7.676,14.7081,941.3161,1.3561
20260804-203559-loadaware-b1.0,loadaware-b1.0,loadaware,,1.0,16.0,,f21d18fc15f7,quay.io/rhl193000/lmstack-router-loadaware:f21d18f,10,499,1,0.002,0.4753,0.4263,0.6535,0.7473,1.3106,0.0514,0.2206,0.2756,5.1626,10.2253,10.9687,14.0415,898.6555,1.3852
